"Sample ID","Strain","IR Type","IR Location","Timepoint","Radiaion Dose_cGy","Focus Area","Condition","Description","Gender"
"TRX-TE-MSP-0860","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-XBC-0046","Balb_cJ","Xray","TBI","6","400","na","Control","Xray_Balb_Control","Female"
"TRX-TE-MSP-0822","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Male"
"TRX-TE-MSP-1009","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-TE-MSP-0654","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-TE-MSP-0795","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Male"
"TRX-BCP-0047","Balb_cJ","pool","pool","pool","na","na","BatchQC","BalbC_Pool","Mix"
"TRX-XBC-0085","Balb_cJ","Xray","TBI","6","200","na","Control","Xray_Balb_Control","Female"
"TRX-TE-MSP-0857","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-TE-MSP-0684","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-XBC-0047","Balb_cJ","Xray","TBI","14","100","na","Control","Xray_Balb_Control","Female"
"TRX-DIRP-0108","C57BL6","pool","pool","pool","na","na","BatchRef","Diff_IR_Pelts_Pool","Male"
"TRX-TE-MSP-0806","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Male"
"TRX-TE-MSP-1005","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-TE-MSP-0694","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-DIRP-0109","C57BL6","pool","pool","pool","na","na","BatchRef","Diff_IR_Pelts_Pool","Male"
"TRX-TE-MSP-0982","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-XBC-0048","Balb_cJ","Control","na","1","0","na","Control","Xray_Balb_Control","Male"
"TRX-TE-MSP-0977","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-TE-MSP-0667","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-TE-MSP-0908","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-TE-MSP-0632","Balb_cJ","Xray","TBI","14","433","FA1","Training","TnE_Training_4Gy_FA1","Male"
"TRX-TE-MSP-0895","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-TE-MSP-0704","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-XBC-0060","Balb_cJ","Control","na","6","0","na","Control","Xray_Balb_Control","Male"
"TRX-TE-MSP-0943","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-BCP-0048","Balb_cJ","pool","pool","pool","na","na","BatchQC","BalbC_Pool","Mix"
"TRX-TE-MSP-0990","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-TE-MSP-0726","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-TE-MSP-0696","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-TE-MSP-0885","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-TE-MSP-0575","Balb_cJ","Control","na","1","0","FA1","Training","TnE_Baseline_0Gy_FA1","Male"
"TRX-DIRP-0110","C57BL6","pool","pool","pool","na","na","BatchRef","Diff_IR_Pelts_Pool","Male"
"TRX-TE-MSP-0827","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Male"
"TRX-XBC-0052","Balb_cJ","Xray","TBI","1","100","na","Control","Xray_Balb_Control","Female"
"TRX-TE-MSP-0980","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-BCP-0049","Balb_cJ","pool","pool","pool","na","na","BatchQC","BalbC_Pool","Mix"
"TRX-TE-MSP-0669","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-TE-MSP-0755","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Male"
"TRX-TE-MSP-0967","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-XBC-0054","Balb_cJ","Xray","TBI","14","100","na","Control","Xray_Balb_Control","Male"
"TRX-TE-MSP-1000","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-TE-MSP-0862","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-TE-MSP-0768","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Male"
"TRX-XBC-0056","Balb_cJ","Control","na","14","0","na","Control","Xray_Balb_Control","Male"
"TRX-BCP-0050","Balb_cJ","pool","pool","pool","na","na","BatchQC","BalbC_Pool","Mix"
"TRX-TE-MSP-0883","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-TE-MSP-0693","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-TE-MSP-0601","Balb_cJ","Xray","TBI","1","108","FA1","Training","TnE_Training_1Gy_FA1","Female"
"TRX-TE-MSP-0856","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-DIRP-0101","C57BL6","pool","pool","pool","na","na","BatchRef","Diff_IR_Pelts_Pool","Male"
"TRX-TE-MSP-0622","Balb_cJ","Xray","TBI","150","108","FA2","Training","TnE_Training_1Gy_FA2","Female"
"TRX-TE-MSP-0736","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-BCP-0025","Balb_cJ","pool","pool","pool","na","na","BatchQC","BalbC_Pool","Mix"
"TRX-TE-MSP-0758","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Male"
"TRX-XBC-0062","Balb_cJ","Xray","TBI","1","400","na","Control","Xray_Balb_Control","Female"
